2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error en accept
2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-03-01 16:17:51,344 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40528)
2013-03-01 16:17:51,442 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40531)
2013-03-01 16:17:51,541 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40534)
2013-03-01 16:17:51,665 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40537)
2013-03-01 16:17:51,765 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40540)
2013-03-01 16:17:51,865 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40543)
2013-03-01 16:17:51,963 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40546)
2013-03-01 16:17:52,061 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40549)
2013-03-01 16:17:52,161 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40552)
2013-03-01 16:17:52,262 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40555)
2013-03-01 16:17:52,361 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40558)
2013-03-01 16:17:52,461 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40561)
2013-03-01 16:17:52,562 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40564)
2013-03-01 16:17:52,662 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40567)
2013-03-01 16:17:52,763 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40570)
2013-03-01 16:17:52,861 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40573)
2013-03-01 16:17:52,963 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40576)
2013-03-01 16:17:53,061 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40579)
2013-03-01 16:17:53,160 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40582)
2013-03-01 16:17:53,259 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40585)
2013-03-01 16:17:53,358 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40588)
2013-03-01 16:17:53,458 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40591)
2013-03-01 16:17:53,556 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40594)
2013-03-01 16:17:53,654 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40597)
2013-03-01 16:17:53,754 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40600)
2013-03-01 16:17:53,854 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40603)
2013-03-01 16:17:53,954 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40606)
2013-03-01 16:17:54,052 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40609)
2013-03-01 16:17:54,152 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40612)
2013-03-01 16:17:54,251 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40615)
2013-03-01 16:17:54,351 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40618)
2013-03-01 16:17:54,451 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40621)
2013-03-01 16:17:54,550 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40624)
2013-03-01 16:17:54,652 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40627)
2013-03-01 16:17:54,753 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40630)
2013-03-01 16:17:54,852 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40633)
2013-03-01 16:17:54,952 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40636)
2013-03-01 16:17:55,051 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40639)
2013-03-01 16:17:55,151 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40642)
2013-03-01 16:17:55,249 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40645)
2013-03-01 16:17:55,348 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40648)
2013-03-01 16:17:55,446 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40651)
2013-03-01 16:17:55,545 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40654)
2013-03-01 16:17:55,644 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40657)
2013-03-01 16:17:55,745 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40660)
2013-03-01 16:17:55,844 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40663)
2013-03-01 16:17:55,944 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40666)
2013-03-01 16:17:56,043 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40669)
2013-03-01 16:17:56,143 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40672)
2013-03-01 16:17:56,242 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40675)
2013-03-01 16:17:56,342 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40678)
2013-03-01 16:17:56,441 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40681)
2013-03-01 16:17:56,540 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40684)
2013-03-01 16:17:56,667 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40687)
2013-03-01 16:17:56,767 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40690)
2013-03-01 16:17:56,865 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40693)
2013-03-01 16:17:56,964 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40696)
2013-03-01 16:17:57,064 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40699)
2013-03-01 16:17:57,164 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40702)
2013-03-01 16:17:57,263 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40705)
2013-03-01 16:17:57,362 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40708)
2013-03-01 16:17:57,462 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40711)
2013-03-01 16:17:57,562 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40714)
2013-03-01 16:17:57,662 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40717)
